0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
an,antigay,hungarian,politician,has,resigned,after,being,caught,by,police,fleeing,a,25man,orgy,through,a,window,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trump,impeached,for,abuse,of,power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vladimir,putins,black,belt,revoked,by,international,taekwondo,organization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
two,weeks,before,his,inauguration,donald,j,trump,was,shown,highly,classified,intelligence,indicating,that,president,vladimir,v,putin,of,russia,had,personally,ordered,complex,cyberattacks,to,sway,the,2016,american,election,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
queen,elizabeth,ii,has,died,buckingham,palace,announces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more,than,150,senior,russian,officials,sign,open,letter,condemning,putins,invasion,of,ukraine,as,an,unprecedented,atrocity,and,warn,of,catastrophic,consequences,while,urging,citizens,not,to,participate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rejecting,us,evacuation,offer,zelensky,says,i,need,antitank,ammo,not,a,ride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anonymous,leaks,database,of,the,russian,ministry,of,defence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,terabyte,leak,of,panamanian,shell,company,data,reveals,how,a,global,industry,led,by,major,banks,legal,firms,and,asset,management,companies,secretly,manages,the,estates,of,politicians,fifa,officials,fraudsters,and,drug,smugglers,celebrities,and,professional,athletes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kyiv,full,consensus,for,disconnecting,russia,from,swift,has,been,achieved,the,process,has,begun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ukraine,president,volodymyr,zelensky,survives,three,assassination,attempts,in,the,last,week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brazilian,president,jair,bolsonaro,tests,positive,for,coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
churchills,grandson,slams,trump,for,skipping,cemetery,visit,because,of,weather,they,died,with,their,face,to,the,foe,and,that,pathetic,inadequate,realdonaldtrump,couldnt,even,defy,the,weather,to,pay,his,respects,to,the,fallen,soames,tweeted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b52,us,bombers,fly,over,middle,east,iran,condemns,intimidation,iranian,foreign,minister,says,the,us,would,be,better,off,spending,its,military,billions,on,your,taxpayers,health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scottish,parliament,votes,for,immediate,suspension,of,tear,gas,rubber,bullet,and,riot,shield,exports,to,us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more,than,a,quarter,of,a,million,people,have,signed,a,petition,calling,for,sydneys,new,years,eve,fireworks,to,be,cancelled,and,the,money,spent,on,fighting,fires,that,threaten,the,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internet,defenders,urge,mass,revolt,to,fight,fccs,scorchedearth,attack,on,net,neutrality,fcc,pai,is,handing,over,the,internet,to,a,few,humongous,gatekeepers,who,see,the,rest,of,us,as,products,to,be,delivered,to,advertisers,not,as,citizens,needing,communications,that,serve,democracys,needs,0,0,0,0,0,0,0,0,0,0,0,0
uighur,group,calls,for,china,to,lose,2022,games,over,genocide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,conservation,group,has,closed,a,1565,million,deal,to,buy,the,largest,privately,owned,giant,sequoia,grove,left,on,earth,an,ancient,forest,with,hundreds,of,the,endangered,redwood,trees,which,can,live,for,3000,years,and,rise,nearly,as,tall,as,the,statue,of,liberty,0,0,0,0,0,0,0,0,0,0,0,0
giraffes,just,silently,went,to,the,list,of,endangered,animals,facing,extinction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,parliament,unanimously,declares,the,chinese,government,is,committing,a,genocide,against,uyghurs,in,historic,first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russia,banned,from,2018,winter,olympics,for,doping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macron,wins,french,presidential,election,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belgium,says,loot,boxes,are,gambling,wants,them,banned,in,europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozilla,launches,facebook,container,extension,for,its,firefox,browser,that,isolates,the,facebook,identity,of,users,from,rest,of,their,web,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thousands,of,hongkongers,defy,police,ban,to,commemorate,tiananmen,massacre,victims,at,victoria,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,massive,leak,from,one,of,the,worlds,biggest,private,banks,credit,suisse,has,exposed,the,hidden,wealth,of,clients,involved,in,torture,drug,trafficking,money,laundering,corruption,and,other,serious,crimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boris,johnson,has,tested,positive,for,coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
price,gouging,from,covid,student,ebooks,costing,up,to,500,more,than,in,print,call,for,inquiry,into,academic,publishers,as,lockeddown,students,unable,to,access,study,material,online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,of,20,world,leaders,just,pledged,to,fight,climate,change,trump,was,the,lone,holdout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prince,andrew,accusers,sends,out,cryptic,tweet,i,am,making,it,publicy,known,that,in,no,way,shape,or,form,am,i,sucidal,i,have,made,this,known,to,my,therapist,and,gp,if,something,happens,to,me,in,the,sake,of,my,family,do,not,let,this,go,away,and,help,me,to,protect,them,0,0,0
sell,one,of,your,three,yachts,outrage,as,billionaire,sir,philip,green,asks,for,taxpayer,help,to,pay,emergency,wages,to,14500,workers,he,has,furloughed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greenland,permanently,bans,all,oil,and,gas,exploration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merkel,says,the,coronavirus,pandemic,has,exposed,leaders,who,rely,on,factdenying,populism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protests,erupt,in,jerusalem,over,murder,of,eyad,halaq,an,unarmed,autistic,palestinian,by,israeli,forces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,spent,the,crucial,first,days,of,the,wuhan,coronavirus,outbreak,arresting,people,who,posted,about,it,online,and,threatening,journalists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,zealand,raises,minimum,wage,to,20,an,hour,and,raises,taxes,on,the,rich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antiwar,protests,break,out,across,russia,despite,attempts,to,stifle,them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blden,sworn,in,as,us,president,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
